Age,Monthly_Income,Years_at_Company,Gender,Department,Job_Role,Distance_From_Home,Job_Satisfaction,Work_Life_Balance,Years_Since_Last_Promotion,Overtime,Attrition
24,7817,1,Female,R&D,Sales Rep,40,1,1,9,Yes,Yes
53,17658,11,Female,Sales,Engineer,2,4,4,2,No,No
48,8598,23,Female,Finance,Executive,9,3,3,2,No,No
51,8492,9,Male,Sales,Executive,9,3,3,0,No,No
45,13760,11,Male,R&D,Manager,14,3,4,1,No,No
22,3227,3,Female,Finance,Executive,39,1,1,9,Yes,Yes
46,8472,24,Male,HR,Executive,1,4,3,2,No,No
26,3688,0,Female,HR,Sales Rep,48,1,1,5,Yes,Yes
27,3029,2,Female,HR,Analyst,47,1,1,9,Yes,Yes
45,17181,14,Male,R&D,Executive,7,4,3,0,No,No
43,7225,17,Female,R&D,Manager,4,4,3,0,No,No
33,5367,1,Male,HR,Sales Rep,35,1,1,4,Yes,Yes
31,4458,0,Female,Finance,Sales Rep,41,1,1,8,Yes,Yes
21,5027,3,Male,R&D,Sales Rep,40,1,1,6,Yes,Yes
40,19164,20,Female,Finance,Engineer,1,4,4,0,No,No
25,4935,1,Male,Finance,Sales Rep,25,1,1,5,Yes,Yes
39,9453,10,Male,Sales,Manager,1,4,3,2,No,No
23,3637,1,Male,Finance,Sales Rep,28,1,1,7,Yes,Yes
31,7256,0,Male,R&D,Analyst,41,1,1,5,Yes,Yes
29,7082,1,Female,R&D,Executive,42,1,1,5,Yes,Yes
27,5082,1,Female,R&D,Executive,43,1,1,4,Yes,Yes
45,12479,20,Male,Finance,Executive,4,3,4,0,No,No
34,14613,19,Male,HR,Engineer,3,4,4,1,No,No
22,6340,0,Male,R&D,Executive,47,1,1,8,Yes,Yes
29,18601,8,Female,Sales,Engineer,9,3,4,0,No,No
24,5241,0,Female,Sales,Sales Rep,28,1,1,6,Yes,Yes
32,12260,7,Male,Finance,Executive,11,3,4,0,No,No
27,7870,1,Female,Sales,Sales Rep,46,1,1,9,Yes,Yes
20,7131,2,Male,HR,Executive,30,1,1,6,Yes,Yes
23,5280,1,Male,HR,Sales Rep,28,1,1,7,Yes,Yes
47,17041,10,Male,HR,Analyst,1,3,3,2,No,No
40,8443,12,Female,HR,Manager,13,4,4,0,No,No
30,16721,13,Male,HR,Engineer,8,4,3,2,No,No
39,12275,4,Female,HR,Manager,7,4,3,2,No,No
30,7389,3,Female,Finance,Executive,46,1,1,4,Yes,Yes
54,12880,4,Female,R&D,Manager,2,4,3,0,No,No
29,5648,0,Female,Finance,Executive,27,1,1,7,Yes,Yes
49,6575,24,Female,R&D,Manager,11,3,3,0,No,No
33,13749,17,Female,Finance,Engineer,9,4,3,2,No,No
22,3173,2,Male,Sales,Sales Rep,45,1,1,6,Yes,Yes
20,5037,1,Male,R&D,Analyst,39,1,1,8,Yes,Yes
48,18915,13,Male,R&D,Analyst,6,4,4,1,No,No
27,6048,0,Male,R&D,Analyst,37,1,1,5,Yes,Yes
29,11556,24,Female,Finance,Manager,13,4,4,2,No,No
25,5290,3,Female,Finance,Analyst,28,1,1,8,Yes,Yes
38,7693,8,Female,Sales,Executive,6,4,3,2,No,No
28,17228,15,Female,Finance,Analyst,7,3,4,0,No,No
38,17251,14,Male,R&D,Manager,5,3,3,0,No,No
52,16106,6,Male,Sales,Analyst,9,4,4,0,No,No
